England and Wales Code,England and Wales,Ethnic group (6 categories) Code,Ethnic group (6 categories),Sex (2 categories) Code,Sex (2 categories),Age (23 categories) Code,Age (23 categories),Observation
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,16,Aged 55 to 59 years,22506
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,17,Aged 60 to 64 years,14005
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,18,Aged 65 years,1910
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,19,Aged 66 to 69 years,5877
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,20,Aged 70 to 74 years,4941
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,21,Aged 75 to 79 years,3619
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,22,Aged 80 to 84 years,2226
K04000001,England and Wales,3,Mixed or Multiple ethnic groups,2,Male,23,Aged 85 years and over,1664
K04000001,England and Wales,4,White,1,Female,1,Aged 2 years and under,669999
K04000001,England and Wales,4,White,1,Female,2,Aged 3 to 4 years,475434
K04000001,England and Wales,4,White,1,Female,3,Aged 5 to 7 years,737966
K04000001,England and Wales,4,White,1,Female,4,Aged 8 to 9 years,520378
K04000001,England and Wales,4,White,1,Female,5,Aged 10 to 14 years,1288377
K04000001,England and Wales,4,White,1,Female,6,Aged 15 years,244744
K04000001,England and Wales,4,White,1,Female,7,Aged 16 to 17 years,489933
K04000001,England and Wales,4,White,1,Female,8,Aged 18 to 19 years,494817
K04000001,England and Wales,4,White,1,Female,9,Aged 20 to 24 years,1372782
K04000001,England and Wales,4,White,1,Female,10,Aged 25 to 29 years,1563695
K04000001,England and Wales,4,White,1,Female,11,Aged 30 to 34 years,1663878
K04000001,England and Wales,4,White,1,Female,12,Aged 35 to 39 years,1563584
K04000001,England and Wales,4,White,1,Female,13,Aged 40 to 44 years,1467545
K04000001,England and Wales,4,White,1,Female,14,Aged 45 to 49 years,1551404
K04000001,England and Wales,4,White,1,Female,15,Aged 50 to 54 years,1775753
K04000001,England and Wales,4,White,1,Female,16,Aged 55 to 59 years,1796923
K04000001,England and Wales,4,White,1,Female,17,Aged 60 to 64 years,1566098
K04000001,England and Wales,4,White,1,Female,18,Aged 65 years,281693
K04000001,England and Wales,4,White,1,Female,19,Aged 66 to 69 years,1098274
K04000001,England and Wales,4,White,1,Female,20,Aged 70 to 74 years,1461711
K04000001,England and Wales,4,White,1,Female,21,Aged 75 to 79 years,1096845
K04000001,England and Wales,4,White,1,Female,22,Aged 80 to 84 years,798932
K04000001,England and Wales,4,White,1,Female,23,Aged 85 years and over,871144
K04000001,England and Wales,4,White,2,Male,1,Aged 2 years and under,706884
K04000001,England and Wales,4,White,2,Male,2,Aged 3 to 4 years,500787
K04000001,England and Wales,4,White,2,Male,3,Aged 5 to 7 years,775567
K04000001,England and Wales,4,White,2,Male,4,Aged 8 to 9 years,547676
K04000001,England and Wales,4,White,2,Male,5,Aged 10 to 14 years,1360092
K04000001,England and Wales,4,White,2,Male,6,Aged 15 years,257844
K04000001,England and Wales,4,White,2,Male,7,Aged 16 to 17 years,521239
K04000001,England and Wales,4,White,2,Male,8,Aged 18 to 19 years,514895
K04000001,England and Wales,4,White,2,Male,9,Aged 20 to 24 years,1380903
K04000001,England and Wales,4,White,2,Male,10,Aged 25 to 29 years,1517654
K04000001,England and Wales,4,White,2,Male,11,Aged 30 to 34 years,1589557
K04000001,England and Wales,4,White,2,Male,12,Aged 35 to 39 years,1506682
K04000001,England and Wales,4,White,2,Male,13,Aged 40 to 44 years,1429255
K04000001,England and Wales,4,White,2,Male,14,Aged 45 to 49 years,1512540
K04000001,England and Wales,4,White,2,Male,15,Aged 50 to 54 years,1720336
K04000001,England and Wales,4,White,2,Male,16,Aged 55 to 59 years,1739550
K04000001,England and Wales,4,White,2,Male,17,Aged 60 to 64 years,1519073
K04000001,England and Wales,4,White,2,Male,18,Aged 65 years,270481
